00AA, City of London, 7185, 4909, 241, 925, 33, 16, 57, 57, 159, 23, 276, 33, 51, 117, 16, 147, 125 
00AB, Barking and Dagenham, 163944, 132566, 2753, 4348, 1420, 572, 534, 550, 3681, 3055, 673, 877, 3434, 7284, 722, 775, 700 
00AC, Barnet, 314564, 188301, 10545, 34022, 1670, 1590, 3218, 3030, 27130, 3965, 1448, 6252, 4113, 13651, 1095, 6379, 8155 
00AD, Bexley, 218307, 191947, 3025, 4538, 868, 394, 915, 695, 5548, 334, 386, 1111, 1762, 4085, 405, 1555, 739 
00AE, Brent, 263464, 76893, 18313, 24072, 2739, 1739, 2529, 2795, 48624, 10626, 1184, 12628, 27574,	20640, 4123, 2812, 6173 
00AF, Bromley, 295532, 255618, 4652, 10396, 1887, 577, 1716	1336, 4458, 691, 868, 533, 4637, 3373, 604, 1799, 1387 
00AG, Camden, 198020, 104390, 9149, 31357, 1654, 1224, 1983, 2568, 4574, 1250, 12569, 2158, 3635, 11795, 944, 3470, 5300 
00AH, Croydon, 330587, 210573, 7130, 14242, 4721, 1352, 3480, 2743, 21246, 7429, 1765, 6940, 26065, 14627, 3384, 2212, 2678 
00AJ, Ealing, 300948, 135139, 14285, 27317, 3022, 1353, 3629, 2876, 49734, 11271, 1077, 11769, 13507, 11075, 1874, 3596, 9424 
00AK, Enfield, 273559, 167394, 8398, 35157, 2549, 1068, 2278, 2199, 10887, 1717, 3524, 5121, 14590, 11884, 2117, 2011, 2665 
00AL, Greenwich, 214403, 151291, 4862, 9182, 2203, 942, 1328, 1387, 9397, 1902, 1225, 2015, 6755, 15302, 1697, 2540, 2375 
00AM, Hackney, 202824, 89490, 6117, 24861, 3075, 1599, 1576, 2251, 7624, 2165, 5970, 1655, 20879, 24290, 4840, 2377, 4055 
00AN, Hammersmith and Fulham, 165242, 95909, 7983, 24710, 2008, 1033, 1609, 1650, 2733, 1711, 1011, 1878, 8534, 8072, 1791, 1303, 3307 
00AP, Haringey, 216507, 98028, 9302, 34752, 3205, 1551, 2329, 2761, 6171, 2046, 2961, 3348, 20570, 19879, 2928, 2444, 4232 
00AQ, Harrow, 206814, 103207, 9057, 9279, 1371, 633, 2018, 1818, 45310, 4317, 953, 10734, 6116, 5656, 931, 2567, 2847
00AR, Havering, 224248, 206365, 3390, 3666, 827, 226, 705, 540, 2756, 457, 216, 659, 1554, 1377, 208, 886, 416 
00AS, Hillingdon, 243006, 176244, 6911, 8965, 1427, 694, 1983, 1484, 23234, 3816, 1459, 4539, 3275, 4227, 504, 1883, 2361 
00AT, Hounslow, 212341, 118421, 6198, 13135, 1382, 843, 2407, 1815, 36812, 9127, 1125, 5446, 2826, 5723, 688, 1842, 4551 
00AU, Islington, 175797, 99784, 10057, 22623, 2329, 1241, 1543, 2121, 2851, 912, 4229, 1492, 8550, 10500, 1806, 3074, 2685 
00AW, Kensington and Chelsea, 158919, 79594, 5183, 40147, 1290, 1057, 1863, 2295, 3226, 1203, 1148, 2160, 4101, 6013, 967, 2592, 6080 
00AX, Kingston upon Thames, 147273, 111810, 3201, 9381, 591, 392, 1398, 976, 5322, 1916, 384, 3844, 772, 1406, 131, 2026, 3723 
00AY, Lambeth, 266169, 131939, 8689, 25430, 5322, 2159, 2100, 3273, 5316, 2634, 2169, 2045, 32139, 30836, 5579, 3362, 3177 
00AZ, Lewisham, 248922, 141814, 6990, 15294, 4760, 1599, 1565, 2475, 3487, 1090, 1229, 3644, 30543, 22571, 5146, 3431, 3284 
00BA, Merton, 187908, 120378, 5464, 15041, 1630, 734, 1918, 1587, 8043, 4504, 1702, 6558, 6976, 6438, 1212, 2485, 3238 
00BB, Newham, 243891, 82390, 3231, 10509, 2986, 1657, 1652, 1953, 29597, 20644, 21458, 7603, 17931, 31982, 2740, 2349, 5209 
00BC, Redbridge, 238635, 137097, 5559, 8931, 1884, 742, 1853, 1352, 33304, 14888, 4224, 7207, 9126, 7827, 1159, 1962, 1520 
00BD, Richmond upon Thames, 172335, 135655, 4805, 16325, 670, 443, 1530, 1154, 4232, 664, 622, 1151, 643, 829, 142, 1299, 2171 
00BE, Southwark, 244866, 127752, 7674, 18890, 3350, 1954, 1343, 2499, 3655, 1118, 3642, 1536, 19555, 39349, 4512, 4492, 3545 
00BF, Sutton, 179768, 150515, 3664, 6172, 1205, 358, 1274, 888, 4133, 1216, 578, 2573, 2054, 2208, 339, 1211, 1380
00BG, Tower Hamlets, 196106, 84151, 3823, 12825, 1568, 789, 1348, 1168, 3001, 1486, 65553, 1767, 5225, 6596, 921, 3573, 2312 
00BH, Waltham Forest, 218341, 121694, 5112, 13997, 3007, 1195, 1580, 1967, 7671, 17295, 2166, 5084, 17797, 12630, 3246, 1443, 2457 
00BJ, Wandsworth, 260380, 168665, 8151, 26162, 2893, 1252, 2247, 2336, 7412, 5449, 1099, 4084, 12665, 10013, 388, 2227, 3337 
00BK, Westminster, 181286, 87938, 6574, 38203, 1382, 1204, 2436, 2458, 5665, 1828, 5000, 3614, 5613, 6678, 1190, 4077, 7426 
