City of London, 7185, 3832, 3353, 6861, 324, 67, 3.1515 
Barking and Dagenham, 163944, 78068, 85876, 162717, 1227, 528, 37.779 
Barnet, 314564, 149781, 164783, 310255, 4309, 4844, 86.736 
Bexley, 218307, 105148, 113159, 217262, 1045, 1505, 64.264 
Brent, 263464, 127806, 135658, 261232, 2232, 2640, 43.235 
Bromley, 295532, 141785, 153747, 292729, 2803, 3314, 150.15 
Camden, 198020, 95398, 102622, 188724, 9296, 1654, 21.796 
Croydon, 330587, 159111, 171476, 327472, 3115, 3384, 86.519 
Ealing, 300948, 147563, 153385, 298269, 2679, 2951, 55.528 
Enfield, 273559, 130706, 142853, 270314, 3245, 2424, 82.201 
Greenwich, 214403, 102777, 111626, 211792, 2611, 1417, 50.38 
Hackney, 202824, 97003, 105821, 201215, 1609, 1366, 19.064 
Hammersmith and Fulham, 165242, 78993, 86249, 163184, 2058, 1558, 17.161 
Haringey, 216507, 103666, 112841, 214377, 2130, 1931, 29.587 
Harrow, 206814, 99953, 106861, 205099, 1715, 3183, 50.469 
Havering, 224248, 107957, 116291, 222568, 1680, 1480, 114.47 
Hillingdon, 243006, 117461, 125545, 238777, 4229, 2166, 115.7 
Hounslow, 212341, 104239, 108102, 210519, 1822, 2120, 56.593 
Islington, 175797, 84229, 91568, 172262, 3535, 1122, 14.86 
Kensington and Chelsea, 158919, 75959, 82960, 155435, 3484, 2237, 12.39 
Kingston upon Thames, 147273, 71987, 75286, 143969, 3304, 1857, 37.247 
Lambeth, 266169, 131152, 135017, 263098, 3071, 1828, 27.253 
Lewisham, 248922, 119979, 128943, 246555, 2367, 1463, 35.323 
Merton, 187908, 91514, 96394, 186860, 1048, 1927, 37.609 
Newham, 243891, 119872, 124019, 242196, 1695, 1336, 38.676
Redbridge, 238635, 115849, 122786, 236171, 2464, 2443, 56.436
Richmond upon Thames, 172335, 83338, 88997, 169642, 2693, 2832, 58.768 
Southwark, 244866, 119817, 125049, 239512, 5354, 1465, 29.897 
Sutton, 179768, 86878, 92890, 178004, 1764, 1863, 43.851 
Tower Hamlets, 196106, 98178, 97928, 193987, 2119, 755, 21.567
Waltham Forest, 218341, 106245, 112096, 216589, 1752, 1217, 38.815 
Wandsworth, 260380, 123742, 136638, 255973, 4407, 2707, 35.22 
Westminster, 181286, 88807, 92479, 175013, 6273, 1893, 22.03 
