0,00AA,City of London,7185,3950,42,109,226,403,19,52,1767,617
1,00AB,Barking and Dagenham,163944,113111,366,1867,547,7148,1754,308,25075,13768
2,00AC,Barnet,314564,148844,3422,21011,46686,19373,1113,3215,40320,30580
3,00AD,Bexley,218307,159234,871,1952,288,3069,2953,485,32147,17308
4,00AE,Brent,263464,125702,2497,45228,6464,32290,1738,2977,26252,20316
5,00AF,Bromley,295532,212871,953,3350,1098,4926,600,875,48279,22580
6,00AG,Camden,198020,93259,2592,3031,11153,22906,443,1161,43609,19866
7,00AH,Croydon,330587,215124,1579,16781,999,17642,1310,1831,48615,26706
8,00AJ,Ealing,300948,152716,3001,23384,1488,31033,25625,1272,40436,21993
9,00AK,Enfield,273559,172836,1334,9176,5336,26306,892,1702,33777,22200
10,00AL,Greenwich,214403,131924,1997,4251,464,9199,4704,616,41365,19883
11,00AM,Hackney,202824,94431,2321,1637,10732,27908,1725,1148,38607,24315
12,00AN,Hammersmith and Fulham,165242,105169,1271,1801,1312,11314,318,713,29148,14196
13,00AP,Haringey,216507,108404,2283,4432,5724,24371,725,1135,43249,26184
14,00AQ,Harrow,206814,97799,1390,40548,13112,14915,2073,4208,18674,14095
15,00AR,Havering,224248,170725,404,1715,1123,1800,936,426,29567,17552
16,00AS,Hillingdon,243006,155775,943,11197,1977,11258,11056,984,32486,17330
17,00AT,Hounslow,212341,110657,1475,16064,684,19378,18265,1182,28576,16060
18,00AU,Islington,175797,95305,1840,1751,1846,14259,590,719,41691,17796
19,00AW,Kensington and Chelsea,158919,98466,1849,1594,3550,13364,325,904,24240,14627
20,00AX,Kingston upon Thames,147273,95110,1173,5343,999,5777,875,614,26506,10876
21,00AY,Lambeth,266169,156558,2294,3388,1211,14344,425,1241,57751,28957
22,00AZ,Lewisham,248922,152460,2721,4195,699,11491,416,1135,50780,25025
23,00BA,Merton,187908,119002,1422,8736,882,10899,499,613,31100,14755
24,00BB,Newham,243891,114247,1592,16901,481,59293,6897,664,21978,21838
25,00BC,Redbridge,238635,121067,1052,18661,14796,28487,13022,1038,22952,17560
26,00BD,Richmond upon Thames,172335,113444,1142,2514,1576,3887,1133,718,33667,14254
27,00BE,Southwark,244866,150781,2621,2664,1011,16774,578,884,45325,24228
28,00BF,Sutton,179768,126663,722,3726,630,4103,247,498,29971,13208
29,00BG,Tower Hamlets,196106,75783,1938,1544,1831,71389,682,525,27823,14591
30,00BH,Waltham Forest,218341,124015,955,4000,1441,32902,1241,844,33541,19402
31,00BJ,Wandsworth,260380,160946,1843,5929,1691,13529,651,926,52042,22823
32,00BK,Westminster,181286,99797,2392,3497,7732,21346,400,945,29300,15877
